Pedro Porro,176cm,25년,€4700만,"1,077",0.17,1.67,0.08,0.12,38.02,76.9%,79.39,0.67,3.84,50.0%,0.17,0.00
Destiny Udogie,188cm,21년,€4000만,"1,007",0.00,0.45,0.09,0.09,40.58,88.0%,70.25,1.16,6.08,54.0%,0.18,0.00
Micky van de Ven,193cm,23년,€5000만,711,0.00,0.51,0.25,0.09,70.51,92.4%,86.58,0.38,4.18,49.3%,0.51,0.00
Radu Dragusin,191cm,22년,€3000만,369,0.00,0.24,0.00,0.01,49.27,86.7%,68.05,0.00,4.39,60.0%,0.00,0.00
Willy Boly,195cm,33년,€300만,91,0.00,0.99,0.00,0.00,42.53,79.6%,71.21,0.00,7.91,88.9%,0.00,0.00
Álex Moreno,179cm,31년,€1500만,691,0.00,0.65,0.13,0.11,22.92,75.9%,53.92,0.52,4.04,41.3%,0.26,0.00
Ola Aina,184cm,28년,€1400만,"1,043",0.09,0.35,0.00,0.07,28.65,81.2%,60.49,0.69,4.49,57.1%,0.17,0.00
Nikola Milenkovic,195cm,27년,€1500만,990,0.00,0.82,0.09,0.02,26.64,87.2%,40.00,0.18,3.91,66.2%,0.09,0.00
Andrew Omobamidele,188cm,22년,€1400만,782,0.00,0.00,0.00,0.00,26.00,86.7%,41.00,2.00,4.00,50.0%,0.00,0.00
Neco Williams,188cm,23년,€2000만,387,0.00,2.09,0.00,0.05,21.63,77.5%,55.35,1.40,7.21,62.0%,0.70,0.00
Murillo,182cm,22년,€4200만,"1,080",0.08,0.83,0.00,0.04,32.92,80.6%,54.75,0.42,3.17,51.4%,0.08,0.00
Lucas Digne,178cm,31년,€1600만,869,0.00,0.62,0.21,0.19,32.62,84.9%,62.45,0.62,4.56,50.0%,0.31,0.00
Tyrone Mings,191cm,31년,€1600만,31,0.00,1.00,0.00,0.02,57.00,80.3%,86.00,1.00,8.00,72.7%,1.00,0.00
Diego Carlos,184cm,31년,€1900만,558,0.00,0.48,0.00,0.01,57.90,88.9%,73.23,0.32,1.94,41.4%,0.16,0.00
Ezri Konsa,183cm,27년,€3000만,822,0.11,0.33,0.00,0.04,48.07,92.4%,63.72,0.00,4.27,83.0%,0.00,0.00
Matty Cash,185cm,27년,€2500만,473,0.00,0.19,0.00,0.04,37.86,89.2%,64.69,0.38,4.76,59.5%,0.19,0.00
Pau Torres,192cm,27년,€5000만,"1,080",0.00,0.25,0.00,0.02,53.67,87.4%,69.67,0.25,3.08,56.1%,0.08,0.00
Ian Maatsen,178cm,22년,€4500만,222,0.00,1.22,0.00,0.29,44.59,87.3%,81.89,1.62,5.68,53.8%,0.41,0.00
Lamare Bogarde,183cm,20년,€50만,214,0.00,0.00,0.00,0.05,45.84,85.8%,71.92,2.52,6.31,48.4%,0.42,0.00
Kenny Tete,180cm,29년,€2000만,"1,031",0.00,1.48,0.09,0.02,35.27,83.0%,69.31,0.87,5.50,53.8%,0.26,0.00
Joachim Andersen,188cm,28년,€3700만,773,0.00,1.05,0.00,0.01,59.96,82.5%,86.51,0.23,4.31,58.7%,0.12,0.12
Antonee Robinson,183cm,27년,€3000만,"1,080",0.00,0.67,0.25,0.11,36.25,82.2%,71.83,0.58,5.50,57.4%,0.08,0.00
Issa Diop,194cm,27년,€2500만,390,0.00,0.69,0.00,0.01,48.46,86.1%,66.69,0.23,3.46,60.0%,0.23,0.00
Ryan Sessegnon,178cm,24년,€1300만,811,0.00,0.50,0.50,0.32,33.50,82.7%,64.00,0.00,8.50,60.7%,0.00,0.00
Calvin Bassey,185cm,24년,€2000만,"1,080",0.00,0.50,0.00,0.01,57.50,89.7%,74.50,0.42,3.17,51.4%,0.33,0.00
Daniel Burn,198cm,32년,€1000만,990,0.00,0.73,0.00,0.02,48.82,89.8%,64.82,0.00,5.00,60.4%,0.45,0.00
Fabian Schär,188cm,32년,€1300만,838,0.11,1.40,0.00,0.06,51.77,83.5%,74.96,0.21,3.33,47.0%,0.43,0.11
Kieran Trippier,178cm,34년,€1200만,287,0.00,0.31,0.00,0.07,54.56,83.3%,90.63,0.31,5.96,47.5%,0.00,0.00
Emil Krafth,181cm,30년,€300만,240,0.00,0.38,0.00,0.00,22.13,79.7%,38.63,0.38,2.63,50.0%,0.00,0.00
Jamaal Lascelles,188cm,31년,€650만,"1,080",0.08,0.50,0.00,0.01,55.58,86.7%,73.67,0.33,5.33,55.7%,0.33,0.00
Matt Targett,183cm,29년,€1500만,78,0.00,0.00,0.00,0.01,38.08,86.8%,60.00,0.00,4.62,50.0%,1.15,0.00
Lloyd Kelly,190cm,26년,€2300만,297,0.00,0.61,0.30,0.03,38.48,81.9%,65.15,0.61,5.15,68.0%,0.61,0.00
Sven Botman,193cm,24년,€5000만,"1,378",0.13,0.65,0.13,0.04,60.02,90.5%,76.02,0.13,3.66,61.5%,0.13,0.00
Valentino Livramento,182cm,22년,€4000만,799,0.00,0.00,0.00,0.03,31.43,82.3%,62.97,1.58,5.52,57.6%,0.00,0.00
Lewis Hall,179cm,20년,€2100만,876,0.00,0.31,0.10,0.16,51.47,84.9%,85.27,1.03,4.93,50.5%,0.31,0.00
Kristoffer Vassbakk Ajer,196cm,26년,€2000만,639,0.00,0.14,0.00,0.02,28.87,77.7%,52.68,0.85,2.96,39.6%,0.42,0.00
Ethan Pinnock,187cm,31년,€1500만,"1,080",0.17,0.75,0.00,0.04,44.67,86.9%,67.67,0.17,5.50,63.5%,0.08,0.00
Sepp van den Berg,189cm,22년,€2000만,822,0.00,0.88,0.00,0.04,32.19,81.9%,56.82,0.33,5.69,57.1%,0.00,0.00
Nathan Collins,193cm,23년,€2200만,"1,080",0.08,0.75,0.00,0.05,48.92,84.9%,72.33,0.25,5.92,70.3%,0.08,0.00
Jonny Evans,188cm,36년,€230만,290,0.00,0.31,0.00,0.01,53.38,89.1%,72.31,0.00,6.83,68.8%,0.31,0.00
Harry Maguire,194cm,31년,€2000만,242,0.00,0.37,0.00,0.01,56.90,86.9%,75.87,0.00,4.46,60.0%,1.12,0.00
Diogo Dalot,183cm,25년,€4000만,"1,047",0.00,0.34,0.09,0.10,40.74,84.2%,68.17,0.09,4.73,59.1%,0.26,0.00
Matthijs de Ligt,187cm,25년,€6800만,851,0.11,0.63,0.00,0.00,53.20,92.8%,67.69,0.21,3.70,53.8%,0.21,0.00
Noussair Mazraoui,183cm,27년,€2900만,915,0.00,0.49,0.10,0.09,45.84,86.1%,77.11,0.69,8.66,68.2%,0.10,0.00
Lisandro Martinez,178cm,26년,€5000만,887,0.00,0.71,0.00,0.03,60.27,89.6%,80.16,0.00,3.75,57.8%,0.41,0.00
Adam Smith,180cm,33년,€150만,683,0.00,0.13,0.00,0.01,20.95,79.9%,45.86,0.66,3.43,50.0%,0.40,0.00
Marcos Senesi,184cm,27년,€2500만,839,0.00,0.21,0.00,0.05,42.91,77.1%,71.98,0.54,6.76,54.8%,0.43,0.00
James Hill,184cm,22년,€250만,75,0.00,1.00,0.00,0.06,31.00,81.6%,53.00,0.00,4.00,50.0%,0.00,0.00
Julian Araujo,178cm,23년,€850만,355,0.00,0.00,0.00,0.01,28.39,81.2%,51.97,0.51,2.54,35.7%,0.25,0.00
Illia Zabarnyi,186cm,22년,€3500만,"1,080",0.00,0.17,0.00,0.01,42.75,84.5%,60.92,0.08,3.25,58.2%,0.08,0.00
Milos Kerkez,174cm,21년,€2200만,"1,011",0.00,0.62,0.18,0.10,28.40,83.7%,54.57,0.27,3.74,53.8%,0.18,0.00
Dean Huijsen,195cm,19년,€1200만,242,0.00,1.49,0.00,0.01,58.76,84.9%,82.56,0.00,6.32,60.7%,0.37,0.00
Emerson,176cm,30년,€1400만,932,0.00,0.58,0.10,0.13,30.52,82.7%,59.97,0.39,4.35,56.3%,0.29,0.00
Vladimir Coufal,176cm,32년,€850만,238,0.00,0.38,0.00,0.10,26.47,76.9%,58.24,1.51,2.65,25.9%,0.38,0.00
