Mikey Moore,180cm,17년,€4만,0.00,1.08,0.00,15.18,82.4%,42.29,3.25,2.17,5.42,41.7%,1.08,0.00,0.00
Chris Wood,191cm,32년,€720만,0.78,2.05,0.00,10.43,66.0%,25.64,3.02,0.59,3.80,41.5%,1.27,0.10,0.00
Taiwo Awoniyi,183cm,27년,€3000만,0.00,2.12,0.00,13.76,72.2%,40.76,6.35,3.18,7.94,37.5%,5.29,0.00,0.00
Emmanuel Dennis,174cm,27년,€500만,0.42,2.19,0.00,17.96,79.3%,45.00,7.41,2.40,6.68,34.2%,3.76,0.10,0.00
Callum Hudson-Odoi,182cm,24년,€1500만,0.20,1.84,0.00,27.31,88.4%,45.20,4.09,1.02,3.78,56.1%,2.76,0.10,0.00
Anthony Elanga,178cm,22년,€2500만,0.00,1.29,0.26,16.71,78.2%,43.12,4.27,1.42,4.27,43.4%,3.11,0.13,0.00
Ollie Watkins,180cm,28년,€7000만,0.58,2.98,0.19,8.64,76.3%,24.88,6.44,2.02,3.46,34.6%,0.77,0.00,0.00
Jacob Ramsey,180cm,23년,€4000만,0.00,1.42,0.28,31.42,87.1%,49.67,4.39,0.99,4.53,59.3%,4.81,0.14,0.00
Jaden Philogene-Bidace,191cm,22년,€1800만,0.00,2.22,0.00,15.52,77.8%,38.57,3.55,0.44,5.76,43.3%,3.99,0.44,0.44
Raul Jiménez,188cm,33년,€630만,0.49,3.54,0.24,14.63,72.7%,38.05,6.59,1.71,5.73,40.5%,2.32,0.00,0.00
Adama Traoré,178cm,28년,€950만,0.12,2.55,0.36,21.26,81.4%,47.13,5.47,0.61,7.29,58.3%,4.01,0.24,0.00
Alex Iwobi,180cm,28년,€3000만,0.26,1.73,0.17,33.90,82.1%,59.57,3.55,1.30,3.73,43.4%,3.82,0.09,0.00
Reiss Nelson,175cm,24년,€1800만,0.25,2.79,0.25,41.07,90.0%,72.25,7.86,1.77,6.59,43.3%,5.32,0.25,0.00
Carlos Vinicius,190cm,29년,€450만,0.59,2.65,0.00,13.53,75.4%,34.12,4.71,2.06,3.24,25.6%,2.65,0.59,0.00
Rodrigo Muniz,186cm,23년,€2500만,0.26,3.68,0.26,7.89,76.9%,28.42,5.79,2.37,6.84,40.6%,1.58,0.26,0.00
Miguel Almiron,174cm,30년,€2500만,0.00,3.50,0.00,25.34,78.4%,42.82,4.37,0.87,1.75,28.6%,3.50,0.00,0.00
Jacob Murphy,179cm,29년,€1800만,0.00,1.21,0.35,26.53,75.7%,51.16,2.43,1.56,2.43,31.8%,3.64,0.17,0.00
Alexander Isak,192cm,25년,€7000만,0.42,3.37,0.21,14.12,76.6%,33.72,6.32,1.90,2.42,27.1%,1.79,0.00,0.00
Harvey Barnes,174cm,26년,€4000만,0.67,3.00,0.17,23.50,83.4%,45.50,6.67,1.17,4.00,52.2%,3.33,0.00,0.00
Anthony Gordon,182cm,23년,€6500만,0.20,1.76,0.10,21.35,77.0%,49.46,4.99,1.37,5.19,51.5%,3.23,0.00,0.00
Yoane Wissa,180cm,28년,€2400만,0.98,2.39,0.14,17.30,82.0%,33.75,4.50,0.84,4.08,54.7%,2.53,0.14,0.00
Bryan Mbeumo,171cm,25년,€4500만,0.67,1.84,0.08,20.43,75.8%,46.47,3.43,1.34,4.35,44.1%,4.86,0.17,0.00
Fabio Carvalho,170cm,22년,€1500만,0.32,1.90,0.32,21.55,70.8%,51.34,6.02,1.27,5.39,44.7%,5.07,0.32,0.00
