Youri Tielemans,177cm,27년,€3000만,"1,065",0.00,0.85,0.34,0.22,54.51,87.0%,80.62,0.76,4.31,0.25,0.00
Leon Bailey,181cm,27년,€4800만,588,0.00,1.53,0.31,0.28,20.82,76.0%,46.53,2.60,4.74,0.31,0.00
Morgan Rogers,192cm,22년,€2500만,985,0.27,1.92,0.18,0.14,19.10,74.9%,44.04,2.65,3.65,0.27,0.00
Amadou Onana,195cm,23년,€5500만,709,0.25,1.40,0.00,0.02,35.80,89.5%,55.98,0.76,4.57,0.38,0.00
Sander Berge,193cm,26년,€2200만,523,0.00,0.00,0.00,0.04,47.15,90.1%,62.47,0.69,6.20,0.00,0.00
Sasa Lukic,183cm,28년,€1300만,640,0.00,0.00,0.00,0.04,46.55,91.7%,60.75,0.14,4.36,0.56,0.00
Andreas Pereira,178cm,28년,€2500만,903,0.10,1.89,0.00,0.24,31.10,76.7%,59.60,1.10,4.78,0.30,0.00
Emile Smith Rowe,182cm,24년,€2500만,864,0.31,1.88,0.21,0.12,43.75,91.5%,61.15,0.63,2.81,0.10,0.00
Joelinton,186cm,28년,€4500만,997,0.18,1.62,0.00,0.08,32.41,83.9%,57.68,2.17,5.51,0.36,0.00
Sean Longstaff,181cm,27년,€3000만,567,0.00,0.63,0.00,0.03,30.95,85.9%,49.05,1.11,3.97,0.32,0.00
Bruno Guimaraes,182cm,27년,€9000만,"1,065",0.00,1.18,0.08,0.10,42.25,83.3%,71.15,2.87,5.41,0.17,0.00
Joseph Willock,186cm,25년,€3500만,370,0.00,1.95,0.24,0.12,25.54,85.4%,52.78,2.43,3.65,0.24,0.00
Sandro Tonali,182cm,24년,€4500만,445,0.00,1.21,0.20,0.04,27.51,82.4%,52.79,0.81,5.66,0.61,0.00
Christian Nørgaard,185cm,30년,€2300만,819,0.11,1.32,0.11,0.02,34.95,82.4%,59.78,0.88,5.49,0.22,0.11
Mathias Jensen,173cm,28년,€2500만,439,0.00,1.03,0.21,0.12,28.09,80.1%,54.94,0.82,4.72,0.21,0.00
Vitaly Janelt,184cm,26년,€2500만,994,0.09,0.72,0.27,0.10,33.14,84.9%,52.42,0.27,4.44,0.09,0.00
Mads Roerslev,180cm,25년,€950만,444,0.00,0.20,0.20,0.12,35.07,82.4%,62.03,1.01,2.64,0.20,0.00
Mikkel Damsgaard,180cm,24년,€1400만,864,0.10,0.94,0.42,0.21,28.85,75.7%,61.35,2.19,4.79,0.00,0.00
Yegor Yarmolyuk,176cm,20년,€950만,143,0.00,1.89,0.00,0.04,54.13,81.9%,96.92,3.15,11.33,0.63,0.00
Christian Eriksen,182cm,32년,€1300만,509,0.00,0.53,0.00,0.19,47.74,89.1%,69.49,0.53,4.24,0.35,0.00
Casemiro,185cm,32년,€2200만,681,0.13,1.98,0.00,0.18,47.18,82.3%,79.03,1.06,5.95,0.13,0.00
Bruno Fernandes,179cm,30년,€7500만,"1,021",0.18,3.26,0.26,0.20,43.10,81.5%,74.13,1.23,4.76,0.09,0.09
Mason Mount,181cm,25년,€4000만,150,0.00,1.20,0.00,0.03,22.20,80.4%,44.40,2.40,2.40,1.20,0.00
Manuel Ugarte,182cm,23년,€4000만,313,0.00,0.29,0.00,0.02,41.69,90.1%,62.97,1.44,6.33,0.58,0.00
Kobbie Mainoo,184cm,19년,€6000만,574,0.00,0.63,0.00,0.07,39.20,88.3%,63.66,2.35,5.17,0.63,0.00
Ryan Christie,178cm,29년,€1500만,708,0.13,0.89,0.00,0.11,33.81,85.3%,57.46,0.76,8.14,0.64,0.00
Lewis Cook,175cm,27년,€1600만,"1,074",0.08,0.67,0.25,0.15,34.36,81.5%,59.50,0.84,5.28,0.34,0.00
Tyler Adams,175cm,25년,€1800만,165,0.00,0.55,0.00,0.03,40.36,85.1%,64.36,0.55,7.09,0.55,0.00
Justin Kluivert,175cm,25년,€1600만,702,0.26,2.56,0.26,0.13,17.31,77.6%,39.10,0.38,2.56,0.51,0.00
Alex Scott,178cm,21년,€2500만,260,0.00,1.04,0.00,0.06,40.15,88.5%,73.38,1.04,8.31,0.00,0.00
Tomas Soucek,190cm,29년,€3500만,744,0.36,2.42,0.00,0.08,27.82,80.4%,48.99,0.60,2.18,0.36,0.00
Guido Rodriguez,185cm,30년,€2300만,810,0.00,0.67,0.00,0.01,36.78,83.6%,56.89,0.56,4.11,0.33,0.00
Carlos Soler,183cm,27년,€2200만,347,0.00,2.33,0.00,0.04,34.50,88.7%,52.91,1.82,4.15,0.78,0.00
Lucas Paquetá,180cm,27년,€7000만,906,0.20,1.49,0.00,0.10,41.42,78.8%,71.03,2.88,6.06,0.40,0.00
Edson Álvarez,186cm,27년,€4000만,409,0.00,0.66,0.00,0.06,42.91,86.3%,65.57,0.66,5.06,0.44,0.22
Idrissa Gana Gueye,174cm,35년,€350만,823,0.00,1.53,0.00,0.07,37.40,85.3%,60.04,1.53,5.69,0.11,0.00
Abdoulaye Doucouré,184cm,31년,€950만,725,0.00,0.62,0.00,0.03,30.66,84.6%,46.06,0.99,5.34,0.00,0.00
Orel Mangala,180cm,26년,€2200만,473,0.00,1.14,0.00,0.09,35.58,89.5%,53.09,0.95,4.95,0.00,0.00
